Frame Number,Id0,Id1,Id2,Id3,Id4,Id5,Id6,Id7,Id8
0,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
6,,,,,,,,,
7,,,,,,,,,
8,,,,,,,,,
9,,,,,,,,,
10,,,,,,,,,
11,,,,,,,,,
12,,,,,,,,,
13,,,,,,,,,
14,,,,,,,,,
15,,,,,,,,,
16,,,,,,,,,
17,,,,,,,,,
18,,,,,,,,,
19,,,,,,,,,
20,,,,,,,,,
21,,,,,,,,,
22,,,,,,,,,
23,,,,,,,,,
24,,,,,,,,,
25,,,,,,,,,
26,,,,,,,,,
27,,,,,,,,,
28,,,,,,,,,
29,,,,,,,,,
30,,,,,,,,,
31,,,,,,,,,
32,,,,,,,,,
33,,,,,,,,,
34,,,,,,,,,
35,,,,,,,,,
36,,,,,,,,,
37,,,,,,,,,
38,,,,,,,,,
39,,,,,,,,,
40,,,,,,,,,
41,,,,,,,,,
42,,,,,,,,,
43,,,,,,,,,
44,,,,,,,,,
45,"[274.0, 119.0]",,,,,,,,
46,"[274.0, 123.0]",,,,,,,,
47,"[274.0, 127.0]",,,,,,,,
48,"[273.0, 131.0]",,,,,,,,
49,"[273.0, 135.0]",,,,,,,,
50,"[272.0, 139.0]",,,,,,,,
51,"[272.0, 143.0]",,,,,,,,
52,"[271.0, 147.0]",,,,,,,,
53,"[271.0, 151.0]",,,,,,,,
54,"[271.0, 155.0]",,,,,,,,
55,"[270.0, 159.0]",,,,,,,,
56,"[270.0, 163.0]",,,,,,,,
57,"[269.0, 167.0]",,,,,,,,
58,"[269.0, 171.0]",,,,,,,,
59,"[268.0, 175.0]",,,,,,,,
60,"[268.0, 179.0]",,,,,,,,
61,"[267.0, 183.0]",,,,,,,,
62,"[267.0, 187.0]",,,,,,,,
63,"[266.0, 191.0]",,,,,,,,
64,"[266.0, 196.0]",,,,,,,,
65,"[266.0, 201.0]",,,,,,,,
66,"[265.0, 205.0]",,,,,,,,
67,"[265.0, 209.0]",,,,,,,,
68,"[264.0, 213.0]",,,,,,,,
69,"[264.0, 216.0]",,,,,,,,
70,"[264.0, 220.0]",,,,,,,,
71,"[263.0, 224.0]",,,,,,,,
72,,,,,,,,,
73,,,,,,,,,
74,,,,,,,,,
75,,,,,,,,,
76,,,,,,,,,
77,,,,,,,,,
78,,,,,,,,,
79,,,,,,,,,
80,,,,,,,,,
81,,,,,,,,,
82,,,,,,,,,
83,,,,,,,,,
84,,,,,,,,,
85,,,,,,,,,
86,,,,,,,,,
87,,,,,,,,,
88,,,,,,,,,
89,,,,,,,,,
90,,,,,,,,,
91,,,,,,,,,
92,,,,,,,,,
93,,,,,,,,,
94,,,,,,,,,
95,,,,,,,,,
96,,,,,,,,,
97,,,,,,,,,
98,,,,,,,,,
99,,,,,,,,,
